"x","y"
599.759291,0.593477
601.687778,0.593384
603.616264,0.594012
605.54475,0.594698
607.473237,0.595748
609.401723,0.596248
611.33021,0.595548
613.258696,0.594743
615.187183,0.594071
617.115669,0.593381
619.044156,0.591582
620.972642,0.589192
622.901129,0.586011
624.829615,0.582445
626.758102,0.579186
628.686588,0.576126
630.615075,0.573852
632.543561,0.571367
634.472047,0.568927
636.400534,0.566294
638.32902,0.563313
640.257507,0.560238
642.185993,0.557184
644.11448,0.554576
646.042966,0.551689
647.971453,0.549363
649.899939,0.546974
651.828426,0.545246
653.756912,0.544625
655.685399,0.544181
657.613885,0.545228
659.542372,0.546558
661.470858,0.548381
663.399344,0.549475
665.327831,0.554011
667.256317,0.563641
669.184804,0.559284
671.11329,0.547695
673.041777,0.542331
674.970263,0.537616
676.89875,0.532457
678.827236,0.526799
680.755723,0.521129
682.684209,0.516296
684.612696,0.511791
686.541182,0.508079
688.469669,0.504583
690.398155,0.501514
692.326641,0.498873
694.255128,0.496486
696.183614,0.494329
698.112101,0.492115
700.040587,0.49004
701.969074,0.487772
703.89756,0.485195
705.826047,0.482407
707.754533,0.479493
709.68302,0.476334
711.611506,0.473112
713.539993,0.470325
715.468479,0.467869
717.396966,0.46622
719.325452,0.464589
721.253938,0.461216
723.182425,0.456719
725.110911,0.452288
727.039398,0.448178
728.967884,0.444268
730.896371,0.44025
732.824857,0.436124
734.753344,0.432271
736.68183,0.429011
738.610317,0.426129
740.538803,0.423658
742.46729,0.421662
744.395776,0.419879
746.324262,0.418506
748.252749,0.417573
750.181235,0.416812
752.109722,0.416183
754.038208,0.415683
755.966695,0.41491
757.895181,0.413699
759.823668,0.412335
761.752154,0.410522
763.680641,0.40829
765.609127,0.406245
767.537614,0.404231
769.4661,0.402075
771.394587,0.400297
773.323073,0.399064
775.251559,0.398042
777.180046,0.397363
779.108532,0.397169
781.037019,0.39692
782.965505,0.396199
784.893992,0.395047
786.822478,0.393553
788.750965,0.391728
790.679451,0.389696
792.607938,0.387805
794.536424,0.386176
796.464911,0.384655
798.393397,0.383186
800.321884,0.381672
802.25037,0.379974
804.178856,0.378285
806.107343,0.37706
808.035829,0.376319
809.964316,0.375844
811.892802,0.37565
813.821289,0.375334
815.749775,0.374252
817.678262,0.372268
819.606748,0.369401
821.535235,0.365664
823.463721,0.361593
825.392208,0.358021
827.320694,0.355514
829.249181,0.354613
831.177667,0.355553
833.106153,0.35765
835.03464,0.359924
836.963126,0.361626
838.891613,0.361942
840.820099,0.360381
842.748586,0.357218
844.677072,0.352708
846.605559,0.347044
848.534045,0.340997
850.462532,0.335228
852.391018,0.330028
854.319505,0.325904
856.247991,0.323094
858.176478,0.321499
860.104964,0.321098
862.03345,0.321732
863.961937,0.323271
865.890423,0.32564
867.81891,0.3286
869.747396,0.331912
871.675883,0.335388
873.604369,0.338828
875.532856,0.34206
877.461342,0.345372
879.389829,0.34889
881.318315,0.352608
883.246802,0.356988
885.175288,0.362029
887.103775,0.367502
889.032261,0.373187
890.960747,0.378485
892.889234,0.382837
894.81772,0.385894
896.746207,0.387057
898.674693,0.386054
900.60318,0.383416
902.531666,0.379604
904.460153,0.375395
906.388639,0.371839
908.317126,0.369472
910.245612,0.368486
912.174099,0.368698
914.102585,0.369761
916.031072,0.371444
917.959558,0.373565
919.888044,0.375825
921.816531,0.378076
923.745017,0.380471
925.673504,0.38316
927.60199,0.38654
929.530477,0.390863
931.458963,0.396015
933.38745,0.402011
935.315936,0.408765
937.244423,0.41599
939.172909,0.423521
941.101396,0.431057
943.029882,0.438113
944.958369,0.444413
946.886855,0.449834
948.815341,0.454421
950.743828,0.458271
952.672314,0.461667
954.600801,0.465371
956.529287,0.470101
958.457774,0.476312
960.38626,0.484475
962.314747,0.494759
964.243233,0.50684
966.17172,0.520438
968.100206,0.535411
970.028693,0.551659
971.957179,0.569101
973.885666,0.587765
975.814152,0.607775
977.742638,0.629205
979.671125,0.652287
981.599611,0.677076
983.528098,0.703325
985.456584,0.730179
987.385071,0.756259
