"x","y"
599.759291,0.632505
601.687778,0.632431
603.616264,0.632851
605.54475,0.633081
607.473237,0.633898
609.401723,0.634066
611.33021,0.633465
613.258696,0.632628
615.187183,0.631511
617.115669,0.630477
619.044156,0.628935
620.972642,0.627148
622.901129,0.624874
624.829615,0.622358
626.758102,0.619544
628.686588,0.616974
630.615075,0.614932
632.543561,0.612778
634.472047,0.610806
636.400534,0.608292
638.32902,0.605666
640.257507,0.603067
642.185993,0.600497
644.11448,0.598153
646.042966,0.595724
647.971453,0.593468
649.899939,0.591349
651.828426,0.589839
653.756912,0.588555
655.685399,0.587703
657.613885,0.587463
659.542372,0.587597
661.470858,0.587949
663.399344,0.587387
665.327831,0.58699
667.256317,0.586857
669.184804,0.584382
671.11329,0.580522
673.041777,0.576787
674.970263,0.572832
676.89875,0.568406
678.827236,0.563897
680.755723,0.559465
682.684209,0.555437
684.612696,0.552029
686.541182,0.549371
688.469669,0.547136
690.398155,0.544715
692.326641,0.542621
694.255128,0.540757
696.183614,0.538816
698.112101,0.53656
700.040587,0.534294
701.969074,0.532053
703.89756,0.529397
705.826047,0.526746
707.754533,0.524227
709.68302,0.521874
711.611506,0.519603
713.539993,0.517915
715.468479,0.517447
717.396966,0.518458
719.325452,0.519072
721.253938,0.516155
723.182425,0.510996
725.110911,0.506014
727.039398,0.502023
728.967884,0.49863
730.896371,0.494341
732.824857,0.489638
734.753344,0.485858
736.68183,0.482958
738.610317,0.48044
740.538803,0.478352
742.46729,0.476519
744.395776,0.474833
746.324262,0.473314
748.252749,0.471972
750.181235,0.470914
752.109722,0.469939
754.038208,0.469259
755.966695,0.468469
757.895181,0.467319
759.823668,0.46619
761.752154,0.46504
763.680641,0.463781
765.609127,0.462425
767.537614,0.461248
769.4661,0.460065
771.394587,0.458973
773.323073,0.458098
775.251559,0.457149
777.180046,0.456113
779.108532,0.455001
781.037019,0.45374
782.965505,0.452041
784.893992,0.450093
786.822478,0.447978
788.750965,0.445799
790.679451,0.443855
792.607938,0.442256
794.536424,0.441062
796.464911,0.439989
798.393397,0.439321
800.321884,0.438811
802.25037,0.438042
804.178856,0.4373
806.107343,0.436834
808.035829,0.436978
809.964316,0.4377
811.892802,0.438849
813.821289,0.439973
815.749775,0.440739
817.678262,0.440766
819.606748,0.439865
821.535235,0.438126
823.463721,0.43543
825.392208,0.432694
827.320694,0.430508
829.249181,0.428949
831.177667,0.428263
