"x","y"
599.759291,0.482236
601.687778,0.482079
603.616264,0.482394
605.54475,0.482382
607.473237,0.482615
609.401723,0.482124
611.33021,0.481252
613.258696,0.480118
615.187183,0.478892
617.115669,0.478013
619.044156,0.476837
620.972642,0.475266
622.901129,0.472726
624.829615,0.470498
626.758102,0.468318
628.686588,0.465882
630.615075,0.464126
632.543561,0.462346
634.472047,0.460372
636.400534,0.458273
638.32902,0.456457
640.257507,0.454347
642.185993,0.452162
644.11448,0.450174
646.042966,0.448058
647.971453,0.446452
649.899939,0.444874
651.828426,0.443637
653.756912,0.442599
655.685399,0.44182
657.613885,0.441848
659.542372,0.442137
661.470858,0.442857
663.399344,0.443194
665.327831,0.444719
667.256317,0.447859
669.184804,0.445609
671.11329,0.440138
673.041777,0.436408
674.970263,0.432675
676.89875,0.428677
678.827236,0.424468
680.755723,0.420419
682.684209,0.417196
684.612696,0.414197
686.541182,0.411655
688.469669,0.409528
690.398155,0.407804
692.326641,0.406388
694.255128,0.404889
696.183614,0.403397
698.112101,0.401665
700.040587,0.399985
701.969074,0.398096
703.89756,0.395877
705.826047,0.393553
707.754533,0.391118
709.68302,0.388719
711.611506,0.386281
713.539993,0.384336
715.468479,0.382957
717.396966,0.382454
719.325452,0.381926
721.253938,0.379409
723.182425,0.375719
725.110911,0.372118
727.039398,0.368768
728.967884,0.365377
730.896371,0.361871
732.824857,0.35842
734.753344,0.355296
736.68183,0.352796
738.610317,0.350717
740.538803,0.349086
742.46729,0.347616
744.395776,0.346323
746.324262,0.345321
748.252749,0.344374
750.181235,0.343582
752.109722,0.342952
754.038208,0.342533
755.966695,0.341927
757.895181,0.341086
759.823668,0.340209
761.752154,0.339035
763.680641,0.337596
765.609127,0.336285
767.537614,0.335134
769.4661,0.333781
771.394587,0.332648
773.323073,0.331947
775.251559,0.331348
777.180046,0.330814
779.108532,0.33038
781.037019,0.329864
782.965505,0.328992
784.893992,0.328005
786.822478,0.326921
788.750965,0.325563
790.679451,0.324072
792.607938,0.322763
794.536424,0.321632
796.464911,0.320617
798.393397,0.319809
800.321884,0.318768
802.25037,0.317515
804.178856,0.316208
806.107343,0.315066
808.035829,0.314337
809.964316,0.313676
811.892802,0.313095
813.821289,0.312404
815.749775,0.311144
817.678262,0.309313
819.606748,0.30707
821.535235,0.304246
823.463721,0.301147
825.392208,0.298416
827.320694,0.296056
829.249181,0.294378
831.177667,0.293627
833.106153,0.293558
835.03464,0.293757
836.963126,0.293858
838.891613,0.29348
840.820099,0.292256
842.748586,0.290354
844.677072,0.287694
846.605559,0.284343
848.534045,0.28073
850.462532,0.277178
852.391018,0.273963
854.319505,0.271313
856.247991,0.269465
858.176478,0.26833
860.104964,0.267966
862.03345,0.268345
863.961937,0.269355
865.890423,0.27093
867.81891,0.272748
869.747396,0.274832
871.675883,0.277208
873.604369,0.279684
875.532856,0.282111
877.461342,0.284631
879.389829,0.287301
881.318315,0.290215
883.246802,0.29376
885.175288,0.297888
887.103775,0.302514
889.032261,0.307452
890.960747,0.312286
892.889234,0.316518
894.81772,0.319788
896.746207,0.321788
898.674693,0.321994
900.60318,0.320394
902.531666,0.317658
904.460153,0.314784
906.388639,0.312621
908.317126,0.311622
910.245612,0.311694
912.174099,0.312667
914.102585,0.314351
916.031072,0.31635
917.959558,0.31868
919.888044,0.321282
921.816531,0.323998
923.745017,0.326747
925.673504,0.329706
927.60199,0.33317
929.530477,0.337155
931.458963,0.341826
933.38745,0.347237
935.315936,0.353308
937.244423,0.359679
939.172909,0.36597
941.101396,0.372082
943.029882,0.378144
944.958369,0.384109
946.886855,0.389548
948.815341,0.394752
950.743828,0.399846
952.672314,0.404998
954.600801,0.410678
956.529287,0.417125
958.457774,0.424928
960.38626,0.434305
962.314747,0.445302
964.243233,0.457639
966.17172,0.47094
968.100206,0.484379
970.028693,0.49685
971.957179,0.509038
973.885666,0.522164
975.814152,0.536491
977.742638,0.551542
979.671125,0.567234
981.599611,0.583997
983.528098,0.602091
985.456584,0.620994
987.385071,0.639444
989.313557,0.657426
991.242044,0.6749
993.17053,0.690921
995.099017,0.705621
997.027503,0.720378
998.95599,0.736203
1000.884476,0.753592
1002.812963,0.772047
1004.741449,0.791088
1006.669935,0.811211
1008.598422,0.831779
1010.526908,0.85238
1012.455395,0.872847
1014.383881,0.893217
1016.312368,0.913117
1018.240854,0.931666
1020.169341,0.948675
1022.097827,0.963584
1024.026314,0.977576
1025.9548,0.990555
1027.883287,1.002393
1029.811773,1.013487
1031.74026,1.023657
1033.668746,1.03283
1035.597232,1.039507
1037.525719,1.044199
1039.454205,1.045913
1041.382692,1.04525
1043.311178,1.044901
1045.239665,1.045672
1047.168151,1.048023
1049.096638,1.051488
1051.025124,1.056073
1052.953611,1.060035
1054.882097,1.063317
1056.810584,1.066041
1058.73907,1.067418
1060.667557,1.068176
1062.596043,1.067746
1064.524529,1.066225
1066.453016,1.063467
1068.381502,1.060233
1070.309989,1.056582
1072.238475,1.052194
1074.166962,1.047055
1076.095448,1.040547
1078.023935,1.032999
1079.952421,1.02371
1081.880908,1.013625
1083.809394,1.00388
1085.737881,0.994971
1087.666367,0.986804
1089.594854,0.978466
1091.52334,0.969808
1093.451826,0.960586
1095.380313,0.951412
1097.308799,0.942268
1099.237286,0.933358
1101.165772,0.924854
1103.094259,0.916563
1105.022745,0.908145
1106.951232,0.898751
1108.879718,0.889008
1110.808205,0.878783
1112.736691,0.868064
1114.665178,0.857206
1116.593664,0.846149
1118.522151,0.835415
1120.450637,0.825329
1122.379123,0.815697
1124.30761,0.805666
1126.236096,0.795078
1128.164583,0.783877
1130.093069,0.772233
1132.021556,0.76086
1133.950042,0.750478
1135.878529,0.741978
1137.807015,0.735736
1139.735502,0.7323
1141.663988,0.731576
1143.592475,0.732869
1145.520961,0.735636
1147.449448,0.739122
1149.377934,0.742852
1151.30642,0.746589
1153.234907,0.749962
1155.163393,0.752135
1157.09188,0.752585
1159.020366,0.750834
1160.948853,0.746622
1162.877339,0.739773
1164.805826,0.729885
1166.734312,0.717331
1168.662799,0.702543
1170.591285,0.686161
1172.519772,0.668917
1174.448258,0.651446
1176.376745,0.634063
1178.305231,0.6167
1180.233717,0.599686
1182.162204,0.583439
1184.09069,0.568442
1186.019177,0.55519
1187.947663,0.54427
1189.87615,0.536173
1191.804636,0.531047
1193.733123,0.528788
1195.661609,0.528941
1197.590096,0.530945
1199.518582,0.533852
1201.447069,0.536595
1203.375555,0.538467
1205.304042,0.5393
1207.232528,0.539454
1209.161014,0.539448
1211.089501,0.539958
1213.017987,0.54126
1214.946474,0.543379
1216.87496,0.546299
1218.803447,0.549769
1220.731933,0.55353
1222.66042,0.557439
1224.588906,0.561423
1226.517393,0.565177
1228.445879,0.56862
1230.374366,0.571665
1232.302852,0.57402
1234.231339,0.575715
1236.159825,0.576891
1238.088311,0.577658
1240.016798,0.578178
1241.945284,0.578664
1243.873771,0.579104
1245.802257,0.57937
1247.730744,0.579297
1249.65923,0.578951
1251.587717,0.578719
1253.516203,0.57879
1255.44469,0.579304
1257.373176,0.580339
1259.301663,0.581758
1261.230149,0.583052
1263.158635,0.583608
1265.087122,0.583103
1267.015608,0.581522
1268.944095,0.579189
1270.872581,0.576106
1272.801068,0.572457
1274.729554,0.568718
1276.658041,0.564615
1278.586527,0.559829
1280.515014,0.554556
1282.4435,0.548808
1284.371987,0.542533
1286.300473,0.536155
1288.22896,0.530161
1290.157446,0.524661
1292.085932,0.51983
1294.014419,0.515868
1295.942905,0.512657
1297.871392,0.510206
1299.799878,0.508602
1301.728365,0.507747
1303.656851,0.50755
1305.585338,0.507932
1307.513824,0.508893
1309.442311,0.510371
1311.370797,0.512124
1313.299284,0.513817
1315.22777,0.515122
1317.156257,0.515806
1319.084743,0.515611
1321.013229,0.514529
1322.941716,0.512861
1324.870202,0.510958
1326.798689,0.509257
1328.727175,0.508069
1330.655662,0.507369
1332.584148,0.507045
1334.512635,0.506928
1336.441121,0.506744
1338.369608,0.506376
1340.298094,0.505754
1342.226581,0.505062
1344.155067,0.504572
1346.083554,0.504424
1348.01204,0.504812
1349.940526,0.505622
1351.869013,0.506869
1353.797499,0.508723
1355.725986,0.511046
1357.654472,0.513654
1359.582959,0.516491
1361.511445,0.519742
1363.439932,0.523262
1365.368418,0.526813
1367.296905,0.530391
1369.225391,0.533361
1371.153878,0.535382
1373.082364,0.536648
1375.010851,0.536932
1376.939337,0.536058
1378.867823,0.533628
1380.79631,0.529305
1382.724796,0.523675
1384.653283,0.518119
1386.581769,0.513048
1388.510256,0.507227
1390.438742,0.501008
1392.367229,0.495938
1394.295715,0.49182
1396.224202,0.488038
1398.152688,0.485173
1400.081175,0.48315
1402.009661,0.481758
1403.938148,0.481567
1405.866634,0.481745
1407.79512,0.482147
1409.723607,0.483242
1411.652093,0.484675
1413.58058,0.486475
1415.509066,0.488356
1417.437553,0.490682
1419.366039,0.492064
1421.294526,0.491433
1423.223012,0.490726
1425.151499,0.489937
1427.079985,0.488974
1429.008472,0.488197
1430.936958,0.486974
1432.865445,0.485305
1434.793931,0.484083
1436.722417,0.482493
1438.650904,0.479145
1440.57939,0.476283
1442.507877,0.47475
1444.436363,0.473875
1446.36485,0.473632
1448.293336,0.472941
1450.221823,0.472013
1452.150309,0.471133
1454.078796,0.470671
1456.007282,0.469948
1457.935769,0.465927
1459.864255,0.460331
1461.792742,0.457016
1463.721228,0.454259
1465.649714,0.448805
1467.578201,0.439257
1469.506687,0.42643
1471.435174,0.411976
1473.36366,0.394666
1475.292147,0.376079
1477.220633,0.360118
1479.14912,0.347487
1481.077606,0.337617
1483.006093,0.329651
1484.934579,0.323665
1486.863066,0.319736
1488.791552,0.317273
1490.720039,0.315689
1492.648525,0.315067
1494.577011,0.316998
1496.505498,0.320407
1498.433984,0.323681
1500.362471,0.328145
1502.290957,0.334626
1504.219444,0.344306
1506.14793,0.355487
1508.076417,0.364178
1510.004903,0.372609
1511.93339,0.381527
1513.861876,0.387233
1515.790363,0.387525
1517.718849,0.381387
1519.647336,0.372039
1521.575822,0.361713
1523.504308,0.351855
1525.432795,0.34541
1527.361281,0.341429
1529.289768,0.338901
1531.218254,0.338205
1533.146741,0.338288
1535.075227,0.337854
1537.003714,0.338688
1538.9322,0.341404
1540.860687,0.341622
1542.789173,0.340221
1544.71766,0.339387
1546.646146,0.3384
1548.574633,0.337984
1550.503119,0.33727
1552.431605,0.336734
1554.360092,0.336192
1556.288578,0.336204
1558.217065,0.337541
1560.145551,0.335738
1562.074038,0.332161
1564.002524,0.331153
1565.931011,0.331676
1567.859497,0.333356
1569.787984,0.335749
1571.71647,0.337849
1573.644957,0.342097
1575.573443,0.348476
1577.50193,0.353508
1579.430416,0.358804
1581.358902,0.36625
1583.287389,0.374365
1585.215875,0.382735
1587.144362,0.391036
1589.072848,0.399213
1591.001335,0.407253
1592.929821,0.415276
1594.858308,0.423469
1596.786794,0.431763
1598.715281,0.44054
1600.643767,0.449891
1602.572254,0.459998
1604.50074,0.470392
1606.429227,0.480401
1608.357713,0.488985
1610.286199,0.495438
1612.214686,0.50005
1614.143172,0.504459
1616.071659,0.509652
1618.000145,0.513317
1619.928632,0.517354
1621.857118,0.524056
1623.785605,0.531119
1625.714091,0.537683
1627.642578,0.543964
1629.571064,0.549519
1631.499551,0.554074
1633.428037,0.559036
1635.356524,0.562993
1637.28501,0.563552
1639.213496,0.563033
1641.141983,0.562734
1643.070469,0.562599
1644.998956,0.562918
1646.927442,0.561934
1648.855929,0.559243
1650.784415,0.559159
1652.712902,0.559508
1654.641388,0.554299
1656.569875,0.547832
1658.498361,0.542977
1660.426848,0.538171
1662.355334,0.532883
1664.283821,0.52629
1666.212307,0.519673
1668.140793,0.514061
1670.06928,0.507754
1671.997766,0.50085
1673.926253,0.49514
1675.854739,0.489339
1677.783226,0.483033
1679.711712,0.478008
1681.640199,0.474913
1683.568685,0.473392
1685.497172,0.469829
1687.425658,0.464786
