"x","y"
599.759291,0.257754
600.241413,0.256839
600.723534,0.255407
601.205656,0.254921
601.687778,0.254987
602.169899,0.254805
602.652021,0.254836
603.134142,0.255407
603.616264,0.255964
604.098386,0.255984
604.580507,0.255615
605.062629,0.254941
605.54475,0.254521
606.026872,0.254192
606.508994,0.253444
606.991115,0.253108
607.473237,0.253033
607.955359,0.252809
608.43748,0.252782
608.919602,0.25281
609.401723,0.252704
609.883845,0.252787
610.365967,0.252716
610.848088,0.251919
611.33021,0.251137
611.812331,0.250529
612.294453,0.249982
612.776575,0.249468
613.258696,0.248832
613.740818,0.24844
614.22294,0.248462
614.705061,0.24905
615.187183,0.249356
615.669304,0.249041
616.151426,0.248391
616.633548,0.247304
617.115669,0.246011
617.597791,0.244853
618.079912,0.245017
618.562034,0.245792
619.044156,0.246108
619.526277,0.246107
620.008399,0.245635
620.490521,0.245349
620.972642,0.245202
621.454764,0.2449
621.936885,0.244265
622.419007,0.243362
622.901129,0.242628
623.38325,0.242135
623.865372,0.242035
624.347493,0.241946
624.829615,0.242069
625.311737,0.242395
625.793858,0.242733
626.27598,0.242793
626.758102,0.242033
627.240223,0.241331
627.722345,0.240881
628.204466,0.240595
628.686588,0.240322
629.16871,0.239838
629.650831,0.239834
630.132953,0.240295
630.615075,0.240883
631.097196,0.24143
631.579318,0.241751
632.061439,0.241339
632.543561,0.240405
633.025683,0.239764
633.507804,0.2393
633.989926,0.239037
634.472047,0.238997
634.954169,0.23908
635.436291,0.239364
635.918412,0.239562
636.400534,0.239565
636.882656,0.23989
637.364777,0.240267
637.846899,0.239951
638.32902,0.23927
638.811142,0.238486
639.293264,0.237834
639.775385,0.23755
640.257507,0.237561
640.739628,0.237634
641.22175,0.237806
641.703872,0.238366
642.185993,0.238252
642.668115,0.23769
643.150237,0.237849
643.632358,0.237398
644.11448,0.236057
644.596601,0.235455
645.078723,0.23517
645.560845,0.234629
646.042966,0.234929
646.525088,0.235318
647.007209,0.234994
647.489331,0.235254
647.971453,0.235472
648.453574,0.2341
648.935696,0.23316
649.417818,0.233508
649.899939,0.232265
650.382061,0.231045
650.864182,0.231812
651.346304,0.231467
651.828426,0.230451
652.310547,0.231214
652.792669,0.231436
653.27479,0.230125
653.756912,0.230208
654.239034,0.230134
654.721155,0.228326
655.203277,0.2279
655.685399,0.2277
