"x","y"
599.759291,0.414542
600.241413,0.414409
600.723534,0.413845
601.205656,0.412695
601.687778,0.412372
602.169899,0.411581
602.652021,0.410466
603.134142,0.410033
603.616264,0.409736
604.098386,0.409654
604.580507,0.409524
605.062629,0.409373
605.54475,0.408917
606.026872,0.408413
606.508994,0.40786
606.991115,0.407109
607.473237,0.406784
607.955359,0.406583
608.43748,0.40592
608.919602,0.405171
609.401723,0.404516
609.883845,0.40374
610.365967,0.403193
610.848088,0.40244
611.33021,0.401578
611.812331,0.400932
612.294453,0.400506
612.776575,0.399979
613.258696,0.398623
613.740818,0.397152
614.22294,0.395796
614.705061,0.394822
615.187183,0.393959
615.669304,0.393181
616.151426,0.392853
616.633548,0.392088
617.115669,0.391311
617.597791,0.390389
618.079912,0.389295
618.562034,0.388454
619.044156,0.388016
619.526277,0.387759
620.008399,0.387111
620.490521,0.386609
620.972642,0.385801
621.454764,0.384905
621.936885,0.384216
622.419007,0.3835
622.901129,0.382945
623.38325,0.382466
623.865372,0.382
624.347493,0.381309
624.829615,0.381369
625.311737,0.381292
625.793858,0.380461
626.27598,0.380059
626.758102,0.379848
627.240223,0.37963
627.722345,0.379141
628.204466,0.378753
628.686588,0.378391
629.16871,0.377989
629.650831,0.377607
630.132953,0.377112
630.615075,0.376876
631.097196,0.376799
631.579318,0.376933
632.061439,0.37667
632.543561,0.376537
633.025683,0.37623
633.507804,0.375577
633.989926,0.375615
634.472047,0.375294
634.954169,0.374997
635.436291,0.374733
635.918412,0.374498
636.400534,0.374554
636.882656,0.374525
637.364777,0.374773
637.846899,0.374776
638.32902,0.375176
638.811142,0.3755
639.293264,0.375039
639.775385,0.374539
640.257507,0.374464
640.739628,0.374883
641.22175,0.374599
641.703872,0.373679
642.185993,0.373002
642.668115,0.373303
643.150237,0.374286
643.632358,0.374947
644.11448,0.375301
644.596601,0.375158
645.078723,0.374762
645.560845,0.374354
646.042966,0.374227
646.525088,0.374067
647.007209,0.373761
647.489331,0.373635
647.971453,0.373305
648.453574,0.372882
648.935696,0.372226
649.417818,0.371514
649.899939,0.371137
650.382061,0.370771
650.864182,0.369942
651.346304,0.369258
651.828426,0.368607
652.310547,0.367057
652.792669,0.365752
653.27479,0.365018
653.756912,0.364288
654.239034,0.363521
654.721155,0.362909
655.203277,0.362467
655.685399,0.361789
656.16752,0.361311
656.649642,0.360925
657.131763,0.360153
657.613885,0.359253
658.096007,0.358611
658.578128,0.35809
659.06025,0.35785
659.542372,0.357801
660.024493,0.357129
660.506615,0.35647
660.988736,0.356093
661.470858,0.35596
661.95298,0.355788
662.435101,0.355357
662.917223,0.35517
663.399344,0.354785
663.881466,0.354374
664.363588,0.353882
664.845709,0.353503
665.327831,0.353699
665.809953,0.353804
666.292074,0.353291
666.774196,0.352504
667.256317,0.354007
667.738439,0.358361
668.220561,0.357725
668.702682,0.355328
669.184804,0.353538
669.666925,0.352765
670.149047,0.3525
670.631169,0.352104
671.11329,0.351861
671.595412,0.351568
672.077534,0.351138
672.559655,0.350902
673.041777,0.350764
673.523898,0.350669
674.00602,0.350773
674.488142,0.35086
674.970263,0.350614
675.452385,0.350339
675.934506,0.350334
676.416628,0.349706
676.89875,0.349011
677.380871,0.349172
677.862993,0.3492
678.345115,0.34922
678.827236,0.34938
679.309358,0.3492
679.791479,0.348858
680.273601,0.348749
680.755723,0.349039
681.237844,0.349257
681.719966,0.349435
682.202087,0.349412
682.684209,0.34903
683.166331,0.349128
683.648452,0.349941
684.130574,0.35018
684.612696,0.349607
685.094817,0.349824
685.576939,0.350559
686.05906,0.350725
686.541182,0.350824
687.023304,0.351303
687.505425,0.351897
687.987547,0.352417
688.469669,0.352904
688.95179,0.353482
689.433912,0.354335
689.916033,0.355221
690.398155,0.355972
690.880277,0.356581
691.362398,0.357369
691.84452,0.358369
692.326641,0.359016
692.808763,0.35953
693.290885,0.360319
693.773006,0.361171
694.255128,0.361428
694.73725,0.361417
695.219371,0.361306
695.701493,0.360241
696.183614,0.358632
696.665736,0.356811
697.147858,0.354623
697.629979,0.352678
698.112101,0.35119
698.594222,0.349379
699.076344,0.34759
699.558466,0.346183
700.040587,0.34444
700.522709,0.343077
701.004831,0.342105
701.486952,0.34113
701.969074,0.340149
702.451195,0.33885
702.933317,0.337921
703.415439,0.337322
703.89756,0.33657
704.379682,0.335835
704.861803,0.335438
705.343925,0.335125
705.826047,0.334603
706.308168,0.334281
706.79029,0.334172
707.272412,0.333978
707.754533,0.333425
708.236655,0.333059
708.718776,0.332984
709.200898,0.332507
709.68302,0.332031
710.165141,0.331902
710.647263,0.331825
711.129384,0.331594
711.611506,0.331454
712.093628,0.331762
712.575749,0.332413
713.057871,0.332649
713.539993,0.332268
714.022114,0.331979
714.504236,0.331886
714.986357,0.332024
715.468479,0.332335
715.950601,0.332625
716.432722,0.332962
716.914844,0.333462
717.396966,0.334283
717.879087,0.335005
718.361209,0.335353
718.84333,0.335723
719.325452,0.336293
719.807574,0.336631
720.289695,0.336549
720.771817,0.336292
721.253938,0.335916
721.73606,0.335701
722.218182,0.335646
722.700303,0.335371
723.182425,0.335151
723.664547,0.335238
724.146668,0.335189
724.62879,0.334845
725.110911,0.334292
725.593033,0.333625
726.075155,0.332841
726.557276,0.331975
727.039398,0.331447
727.521519,0.330848
728.003641,0.33015
728.485763,0.329574
728.967884,0.32883
729.450006,0.328453
729.932128,0.32842
730.414249,0.32837
730.896371,0.328075
731.378492,0.327412
731.860614,0.326765
732.342736,0.326283
732.824857,0.325969
733.306979,0.325736
733.7891,0.325577
734.271222,0.325493
734.753344,0.325618
735.235465,0.325999
735.717587,0.326364
736.199709,0.326475
736.68183,0.326692
737.163952,0.327382
737.646073,0.327705
738.128195,0.327635
738.610317,0.327771
739.092438,0.3282
739.57456,0.32875
740.056681,0.329116
740.538803,0.329578
741.020925,0.330057
741.503046,0.330635
741.985168,0.331125
742.46729,0.33137
742.949411,0.331755
743.431533,0.331848
743.913654,0.331982
744.395776,0.332269
744.877898,0.332066
745.360019,0.331653
745.842141,0.331548
