"x","y"
599.759291,0.67976
601.687778,0.679431
603.616264,0.679029
605.54475,0.678844
607.473237,0.678891
609.401723,0.678119
611.33021,0.677504
613.258696,0.677118
615.187183,0.676659
617.115669,0.675856
619.044156,0.674893
620.972642,0.673686
622.901129,0.672226
624.829615,0.671355
626.758102,0.670154
628.686588,0.668942
630.615075,0.667049
632.543561,0.664514
634.472047,0.66271
636.400534,0.661083
638.32902,0.659235
640.257507,0.657091
642.185993,0.655417
644.11448,0.653332
646.042966,0.651125
647.971453,0.649333
649.899939,0.647505
651.828426,0.645935
653.756912,0.644548
655.685399,0.643817
657.613885,0.643178
659.542372,0.643541
661.470858,0.643571
663.399344,0.643461
665.327831,0.640443
667.256317,0.630395
669.184804,0.630296
671.11329,0.63686
673.041777,0.636728
674.970263,0.634346
676.89875,0.631689
678.827236,0.629208
680.755723,0.626807
682.684209,0.624784
684.612696,0.623608
686.541182,0.62225
688.469669,0.6216
690.398155,0.620875
692.326641,0.619982
694.255128,0.619077
696.183614,0.617606
698.112101,0.615276
700.040587,0.612739
701.969074,0.610571
703.89756,0.608072
705.826047,0.605915
707.754533,0.604087
709.68302,0.602349
711.611506,0.600992
713.539993,0.600075
715.468479,0.599633
717.396966,0.599892
719.325452,0.600315
721.253938,0.598862
723.182425,0.595876
725.110911,0.592372
727.039398,0.588906
728.967884,0.585941
730.896371,0.583013
732.824857,0.580043
734.753344,0.577286
736.68183,0.575511
738.610317,0.574092
740.538803,0.572607
742.46729,0.571655
744.395776,0.571134
746.324262,0.571036
748.252749,0.571323
750.181235,0.571922
752.109722,0.572735
754.038208,0.574213
755.966695,0.575201
757.895181,0.5746
759.823668,0.573443
761.752154,0.572027
763.680641,0.570433
765.609127,0.569071
767.537614,0.568161
769.4661,0.567269
771.394587,0.566451
773.323073,0.566028
775.251559,0.565622
777.180046,0.565215
779.108532,0.564409
781.037019,0.562971
782.965505,0.561221
784.893992,0.559617
786.822478,0.558131
788.750965,0.556613
790.679451,0.555446
792.607938,0.55454
794.536424,0.553943
796.464911,0.553648
798.393397,0.553077
800.321884,0.551612
802.25037,0.549553
804.178856,0.54732
806.107343,0.544926
808.035829,0.543052
809.964316,0.541793
811.892802,0.540889
813.821289,0.540397
815.749775,0.540458
817.678262,0.541016
819.606748,0.541297
821.535235,0.539586
823.463721,0.535397
825.392208,0.531183
827.320694,0.528142
829.249181,0.525886
831.177667,0.524525
833.106153,0.524016
835.03464,0.523802
836.963126,0.523296
838.891613,0.52277
840.820099,0.521807
842.748586,0.520385
844.677072,0.518811
846.605559,0.516595
848.534045,0.514143
850.462532,0.511891
852.391018,0.509871
