"x","y"
599.759291,0.57567
601.687778,0.57544
603.616264,0.575374
605.54475,0.575458
607.473237,0.575703
609.401723,0.575459
611.33021,0.574735
613.258696,0.573782
615.187183,0.572663
617.115669,0.571342
619.044156,0.569861
620.972642,0.568196
622.901129,0.565957
624.829615,0.563618
626.758102,0.561418
628.686588,0.559502
630.615075,0.557529
632.543561,0.555634
634.472047,0.553857
636.400534,0.551308
638.32902,0.548314
640.257507,0.545313
642.185993,0.542278
644.11448,0.539146
646.042966,0.536388
647.971453,0.533768
649.899939,0.531982
651.828426,0.53068
653.756912,0.52886
655.685399,0.527827
657.613885,0.526957
659.542372,0.526504
661.470858,0.525976
663.399344,0.525407
665.327831,0.521043
667.256317,0.511185
669.184804,0.511004
671.11329,0.515558
673.041777,0.513647
674.970263,0.509749
676.89875,0.505279
678.827236,0.501235
680.755723,0.49744
682.684209,0.49385
684.612696,0.491325
686.541182,0.488777
688.469669,0.486707
690.398155,0.484663
692.326641,0.48267
694.255128,0.480504
696.183614,0.478323
698.112101,0.47579
700.040587,0.472868
701.969074,0.470464
703.89756,0.467782
705.826047,0.465373
707.754533,0.463007
709.68302,0.460405
711.611506,0.45808
713.539993,0.456139
715.468479,0.454766
717.396966,0.453865
719.325452,0.453096
721.253938,0.450896
723.182425,0.447703
725.110911,0.444352
727.039398,0.44088
728.967884,0.437835
730.896371,0.434661
732.824857,0.431283
734.753344,0.428331
736.68183,0.426047
738.610317,0.423718
740.538803,0.421638
742.46729,0.420061
744.395776,0.418403
746.324262,0.417073
748.252749,0.41599
750.181235,0.414992
752.109722,0.414063
754.038208,0.413324
755.966695,0.412531
757.895181,0.411574
759.823668,0.410547
761.752154,0.409226
763.680641,0.407921
765.609127,0.406463
767.537614,0.405172
769.4661,0.403996
771.394587,0.402739
773.323073,0.401694
775.251559,0.400548
777.180046,0.399464
779.108532,0.398234
781.037019,0.396726
782.965505,0.394905
784.893992,0.392942
786.822478,0.391013
788.750965,0.388814
790.679451,0.386864
792.607938,0.385215
794.536424,0.383783
796.464911,0.3826
798.393397,0.381374
800.321884,0.379818
802.25037,0.378054
804.178856,0.376513
806.107343,0.375045
808.035829,0.374041
809.964316,0.373742
811.892802,0.373678
813.821289,0.373575
815.749775,0.373207
817.678262,0.372117
819.606748,0.370213
821.535235,0.367853
823.463721,0.365012
825.392208,0.362234
827.320694,0.360019
829.249181,0.358544
831.177667,0.358085
833.106153,0.358331
835.03464,0.358703
836.963126,0.358654
838.891613,0.358026
840.820099,0.356586
842.748586,0.354436
844.677072,0.351709
846.605559,0.348408
848.534045,0.34494
850.462532,0.341394
852.391018,0.338184
854.319505,0.335588
856.247991,0.333596
858.176478,0.332216
860.104964,0.331448
862.03345,0.331332
863.961937,0.331722
865.890423,0.332708
867.81891,0.334126
869.747396,0.335922
871.675883,0.337979
873.604369,0.340126
875.532856,0.342579
877.461342,0.3454
879.389829,0.348696
881.318315,0.352576
883.246802,0.356953
885.175288,0.361438
887.103775,0.365981
889.032261,0.370336
890.960747,0.374016
892.889234,0.37709
894.81772,0.379292
896.746207,0.380233
898.674693,0.379963
900.60318,0.378804
902.531666,0.376881
904.460153,0.374743
906.388639,0.373146
908.317126,0.372106
910.245612,0.371799
912.174099,0.372203
914.102585,0.373017
916.031072,0.374211
917.959558,0.375757
919.888044,0.377491
921.816531,0.379334
923.745017,0.381375
925.673504,0.383538
927.60199,0.386036
929.530477,0.389023
931.458963,0.392451
933.38745,0.396449
935.315936,0.401026
937.244423,0.406023
939.172909,0.411405
941.101396,0.417117
943.029882,0.422805
944.958369,0.428421
946.886855,0.433844
948.815341,0.438998
950.743828,0.444112
952.672314,0.449207
954.600801,0.454619
956.529287,0.460836
958.457774,0.468127
960.38626,0.476719
962.314747,0.486859
964.243233,0.498249
966.17172,0.510653
968.100206,0.524188
970.028693,0.538504
971.957179,0.553622
973.885666,0.569825
975.814152,0.587331
977.742638,0.60639
979.671125,0.627259
981.599611,0.65024
983.528098,0.675045
985.456584,0.700839
987.385071,0.726536
989.313557,0.751155
991.242044,0.773775
993.17053,0.793955
995.099017,0.812006
997.027503,0.82905
998.95599,0.846496
1000.884476,0.865422
1002.812963,0.885866
1004.741449,0.90726
1006.669935,0.929685
1008.598422,0.952644
1010.526908,0.97559
1012.455395,0.998537
1014.383881,1.021256
1016.312368,1.043443
1018.240854,1.064684
1020.169341,1.084391
1022.097827,1.102634
1024.026314,1.120432
1025.9548,1.137479
1027.883287,1.15372
1029.811773,1.169134
1031.74026,1.183105
1033.668746,1.194698
1035.597232,1.202571
1037.525719,1.207014
1039.454205,1.208174
1041.382692,1.207495
1043.311178,1.20668
1045.239665,1.206363
1047.168151,1.206917
1049.096638,1.208036
1051.025124,1.209754
1052.953611,1.211698
1054.882097,1.213618
1056.810584,1.215017
1058.73907,1.215943
1060.667557,1.21625
1062.596043,1.215798
1064.524529,1.214548
1066.453016,1.212057
1068.381502,1.209818
1070.309989,1.207449
1072.238475,1.203996
1074.166962,1.199597
1076.095448,1.194002
1078.023935,1.186619
1079.952421,1.176269
1081.880908,1.164078
1083.809394,1.151308
1085.737881,1.138404
1087.666367,1.125679
1089.594854,1.112667
1091.52334,1.099074
1093.451826,1.08521
1095.380313,1.07166
1097.308799,1.058786
1099.237286,1.047367
1101.165772,1.037789
1103.094259,1.029424
1105.022745,1.020986
1106.951232,1.011266
1108.879718,0.999799
1110.808205,0.986445
1112.736691,0.971416
1114.665178,0.955481
1116.593664,0.939802
1118.522151,0.924964
1120.450637,0.911176
1122.379123,0.898173
