"x","y"
599.759291,0.425578
600.241413,0.425776
600.723534,0.425394
601.205656,0.424959
601.687778,0.424628
602.169899,0.42427
602.652021,0.424107
603.134142,0.423746
603.616264,0.423587
604.098386,0.423848
604.580507,0.424066
605.062629,0.424275
605.54475,0.424107
606.026872,0.423185
606.508994,0.422604
606.991115,0.422521
607.473237,0.421611
607.955359,0.421512
608.43748,0.42192
608.919602,0.421523
609.401723,0.42171
609.883845,0.421787
610.365967,0.421484
610.848088,0.420801
611.33021,0.419944
611.812331,0.419381
612.294453,0.418766
612.776575,0.418418
613.258696,0.418028
613.740818,0.417307
614.22294,0.416506
614.705061,0.416395
615.187183,0.416155
615.669304,0.415683
616.151426,0.415557
616.633548,0.415068
617.115669,0.414943
617.597791,0.41442
618.079912,0.413624
618.562034,0.41321
619.044156,0.412868
619.526277,0.412744
620.008399,0.412338
620.490521,0.412408
620.972642,0.412284
621.454764,0.4116
621.936885,0.410767
622.419007,0.409843
622.901129,0.40941
623.38325,0.408994
623.865372,0.409029
624.347493,0.409116
624.829615,0.408601
625.311737,0.407741
625.793858,0.406893
626.27598,0.406341
626.758102,0.405622
627.240223,0.405324
627.722345,0.405684
628.204466,0.405798
628.686588,0.405149
629.16871,0.404536
629.650831,0.404334
630.132953,0.403963
630.615075,0.403436
631.097196,0.403256
631.579318,0.403594
632.061439,0.403548
632.543561,0.403353
633.025683,0.402935
633.507804,0.402381
633.989926,0.402231
634.472047,0.401768
634.954169,0.401428
635.436291,0.401021
635.918412,0.400939
636.400534,0.401536
636.882656,0.401653
637.364777,0.400999
637.846899,0.399926
638.32902,0.399525
638.811142,0.399698
639.293264,0.399947
639.775385,0.399928
640.257507,0.399231
640.739628,0.398721
641.22175,0.398503
641.703872,0.397875
642.185993,0.397527
642.668115,0.398009
643.150237,0.398067
643.632358,0.398103
644.11448,0.39826
644.596601,0.397596
645.078723,0.396984
645.560845,0.396894
646.042966,0.396978
646.525088,0.396512
647.007209,0.396062
647.489331,0.396016
647.971453,0.395941
648.453574,0.396077
648.935696,0.395934
649.417818,0.395399
649.899939,0.394795
650.382061,0.394453
650.864182,0.394008
651.346304,0.393464
651.828426,0.393182
652.310547,0.392859
652.792669,0.392632
653.27479,0.392139
653.756912,0.391502
654.239034,0.390543
654.721155,0.389865
655.203277,0.390166
655.685399,0.389705
656.16752,0.38899
656.649642,0.388728
657.131763,0.387973
657.613885,0.387405
658.096007,0.387718
658.578128,0.387685
659.06025,0.387124
659.542372,0.387043
660.024493,0.386937
660.506615,0.386682
660.988736,0.386459
661.470858,0.38616
661.95298,0.385952
662.435101,0.385759
662.917223,0.385743
663.399344,0.385689
663.881466,0.385205
664.363588,0.384393
664.845709,0.383717
665.327831,0.383495
665.809953,0.383766
666.292074,0.383583
666.774196,0.382107
667.256317,0.381351
667.738439,0.384745
668.220561,0.384554
668.702682,0.382098
669.184804,0.381574
669.666925,0.381707
670.149047,0.381546
670.631169,0.381011
671.11329,0.380308
671.595412,0.379815
672.077534,0.379153
672.559655,0.378652
673.041777,0.378113
673.523898,0.377546
674.00602,0.377075
674.488142,0.376994
674.970263,0.377119
675.452385,0.376372
675.934506,0.376001
676.416628,0.375712
676.89875,0.374858
677.380871,0.374577
677.862993,0.374126
678.345115,0.373316
678.827236,0.373096
679.309358,0.373098
679.791479,0.372444
680.273601,0.371887
680.755723,0.37158
681.237844,0.371045
681.719966,0.370585
682.202087,0.370614
682.684209,0.370986
683.166331,0.370849
683.648452,0.370826
684.130574,0.370441
684.612696,0.369479
685.094817,0.369412
685.576939,0.370009
686.05906,0.370147
686.541182,0.369841
687.023304,0.370045
687.505425,0.36986
687.987547,0.369458
688.469669,0.369827
688.95179,0.370137
689.433912,0.370573
689.916033,0.371063
690.398155,0.371434
690.880277,0.371379
691.362398,0.371177
691.84452,0.371408
692.326641,0.371548
692.808763,0.371861
693.290885,0.372468
693.773006,0.373257
694.255128,0.3736
694.73725,0.373187
695.219371,0.372486
695.701493,0.371757
696.183614,0.371051
696.665736,0.370233
697.147858,0.369406
697.629979,0.368133
698.112101,0.366931
698.594222,0.366121
699.076344,0.365066
699.558466,0.363782
700.040587,0.362693
700.522709,0.36215
701.004831,0.361222
701.486952,0.360267
701.969074,0.359931
702.451195,0.359676
702.933317,0.359052
703.415439,0.358062
703.89756,0.357227
704.379682,0.356198
704.861803,0.355592
705.343925,0.355518
705.826047,0.355402
706.308168,0.355144
706.79029,0.354432
707.272412,0.353874
707.754533,0.35336
708.236655,0.353035
708.718776,0.352795
709.200898,0.352272
709.68302,0.351823
710.165141,0.351343
710.647263,0.351071
711.129384,0.350834
711.611506,0.350593
712.093628,0.350542
712.575749,0.350743
713.057871,0.350943
713.539993,0.351018
714.022114,0.351261
714.504236,0.351303
714.986357,0.351567
715.468479,0.352084
715.950601,0.352606
716.432722,0.353531
716.914844,0.354783
717.396966,0.356169
717.879087,0.357217
718.361209,0.357842
718.84333,0.357914
719.325452,0.357393
719.807574,0.356704
720.289695,0.356097
720.771817,0.355759
721.253938,0.355304
721.73606,0.35437
722.218182,0.353333
722.700303,0.352602
723.182425,0.351924
723.664547,0.351258
724.146668,0.350615
724.62879,0.349824
725.110911,0.349029
725.593033,0.348356
726.075155,0.347991
726.557276,0.347478
727.039398,0.346498
727.521519,0.345348
728.003641,0.344367
728.485763,0.343795
728.967884,0.343095
729.450006,0.342315
729.932128,0.342005
730.414249,0.341369
730.896371,0.34009
731.378492,0.339122
731.860614,0.338498
732.342736,0.338041
732.824857,0.337387
733.306979,0.336434
733.7891,0.336165
734.271222,0.33611
734.753344,0.335672
735.235465,0.335281
735.717587,0.335225
736.199709,0.335331
736.68183,0.335386
737.163952,0.33568
737.646073,0.335605
738.128195,0.335142
738.610317,0.334961
739.092438,0.334809
739.57456,0.334783
740.056681,0.334929
740.538803,0.335035
741.020925,0.335542
741.503046,0.335957
741.985168,0.335482
742.46729,0.335135
742.949411,0.335081
743.431533,0.334912
743.913654,0.334752
744.395776,0.334527
744.877898,0.33461
745.360019,0.334489
745.842141,0.334039
