"id_90","Na","Mg","Al","Si","P","S","Cl","K","Ca","Ti","Cr","Mn","Fe","Cu","Zn","As","Br","Rb","Sr","Ba","Pb"
74,6168,4595,94145,186645,209.8,117,122.5,0.6073,0.0587,8548.4,95.03,48.8,1.1398,2.9,18.3,0,0.4,0,48.2,805.8,6.2
75,308,721,2085,11441,430.7,1349,0,0.0474,0.7726,521.7,8.31,24.7,0.0895,4.8,7.7,0.17,133.4,5,63.2,83,8.07
76,241,1136,1243,5338,280,1054,0,0.0281,1.2255,212.8,9.14,25.3,0.11,2,4.2,0.11,121.3,4.1,80.3,74.3,2.58
77,279,947,1516,7610,349.4,1226,0,0.0336,1.0224,316.8,7.37,27.5,0.1626,6.5,8.3,0.68,162,4.2,74.2,80.4,9.25
78,276,2140,19269,30647,301,3315,0,0.1185,1.0417,1331.5,16.97,40,0.9728,16.7,9.1,1.59,23.8,10,76.9,130.2,14.52
79,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
80,261,633,2187,8285,436.6,646,0,0.1028,0.1601,384.4,15.43,61.5,0.2217,4.5,35.1,5.66,17.5,6.1,19.8,46.4,34.83
81,557,626,3060,10974,419.6,880,122.6,0.0781,0.2263,639.5,7,57.8,0.3034,4.6,23.1,3.37,34,5.7,27.1,50.3,25.08
82,627,561,2846,11762,393.4,880,0,0.0679,0.1978,687.5,6.59,39.1,0.15,5.6,20.5,1.77,38,5.3,24.2,48.6,13.99
83,754,504,2579,13728,386.6,1081,44.9,0.0736,0.2006,687.9,8.23,42.8,0.0841,4.2,16.2,0.45,30.1,4.8,23.1,51.1,9.43
84,676,495,1328,7549,249.4,1066,74.9,0.0215,0.2305,227,4.97,49.8,0.0668,3.4,17,0.15,14.2,2.7,20.3,46,3.9
85,763,512,2226,10257,291.2,1068,147.4,0.0474,0.3309,398.3,4.05,55,0.0718,5.9,22.4,0.46,24.2,3.7,23.5,43.9,7.1
86,1014,720,2172,4953,243.8,1538,536.6,0.0402,0.3895,244.3,6,68.5,0.0699,2.6,14.4,0.18,16.6,2.9,28.6,38.2,6.04
87,351,673,1338,6031,209.5,1291,0,0.0299,0.3457,255.6,4.31,43.7,0.0678,4.9,13.2,0.25,14.7,3.2,29.9,47.7,3.04
88,793,722,2588,7257,170,917,174.7,0.0538,0.6177,460.7,5.64,62.6,0.0657,3.7,30.3,0.1,20.3,4,55.3,48.4,1.96
89,544,702,2459,6509,158.7,928,0,0.0306,0.6282,462.1,4.5,45.9,0.0777,4.5,10.7,0.19,23.3,3.7,66.2,53,4.8
90,248,677,2400,6414,173.7,1180,0,0.0338,0.6994,458.5,5.9,54.4,0.0749,6.4,15,0.31,35.9,3.9,74.8,45.1,1.12
